model_name,count,mean,std,sem,metric
Agent,121,0.9058978211870774,0.004826344861004668,0.0004387586237276971,lcs_ratio_vs_wt
MPNN,100,0.4304090909090909,0.013531815320888062,0.0013531815320888061,lcs_ratio_vs_wt
Hallucination,100,0.33204545454545453,0.009348396667009788,0.0009348396667009787,lcs_ratio_vs_wt
ESM_IF1,100,0.5485454545454546,0.019859259372391896,0.0019859259372391894,lcs_ratio_vs_wt
Agent,7260,0.9792603361756309,0.00730354213875628,8.571665779311263e-05,lcs_ratio_within_group
MPNN,4950,0.6943720221078712,0.03602157762857078,0.0005119884103113681,lcs_ratio_within_group
Hallucination,4950,0.40440251572327046,0.019589688377281856,0.00027843570634797783,lcs_ratio_within_group
ESM_IF1,4950,0.5846588526777207,0.02577180458390795,0.000366304479937732,lcs_ratio_within_group
Agent,121,0.6821783600547638,0.010755568654234436,0.0009777789685667668,ngram_similarity_vs_wt
MPNN,100,0.059834820223104684,0.009279105945384317,0.0009279105945384317,ngram_similarity_vs_wt
Hallucination,100,0.01370750982681535,0.005855363625359078,0.0005855363625359078,ngram_similarity_vs_wt
ESM_IF1,100,0.10825745215152269,0.01839782944754246,0.0018397829447542458,ngram_similarity_vs_wt
Agent,7260,0.8892735523308,0.0337939824778509,0.00039661676163255084,ngram_similarity_within_group
MPNN,4950,0.22916776262017546,0.044393924624464516,0.000630987768784854,ngram_similarity_within_group
Hallucination,4950,0.02704239063703772,0.008907815113606889,0.00012661017089228815,ngram_similarity_within_group
ESM_IF1,4950,0.11798935082320018,0.02326182496114338,0.00033062918303030595,ngram_similarity_within_group
